Model,MAE,RMSE,R2
Random Forest 100,22.904159544159544,35.83410289771924,0.36388077730420354
Random Forest 200,23.050128205128207,36.058277618725214,0.3558968798728168
Ridge alpha=10.0,24.860442300389973,41.068998116154205,0.16444765320377752
Ridge alpha=1.0,24.860460191752576,41.06909137071612,0.1644438586550866
Ridge alpha=0.1,24.860461980937643,41.069100696751114,0.16444347917619184
Linear Regression,24.86046217973651,41.069101732983505,0.16444343701160946
